## Simulation_contaminatio_0.10
	robpca_k2_gaussian_2400_0.10: 0.97
	robpca_k2_pareto_2400_0.10: 0.87
	robpca_k2_lognormal_2400_0.10: 0.00
## Simulation_contaminatio_0.25
	robpca_k2_gaussian_2400_0.25: 0.00
	robpca_k2_pareto_2400_0.25: 0.00
	robpca_k2_lognormal_2400_0.25: 0.00
## Simulation_contaminatio_0.33
	robpca_k2_gaussian_2400_0.33: 0.00
	robpca_k2_pareto_2400_0.33: 0.00
	robpca_k2_lognormal_2400_0.33: 0.00


### CTU-13 Contamination: 10%
	10	0.00964934095996021
	11	0.0527730573150008
	12	0.00188882013873058
	15	0.0705247873885086
	16	0.0375635571235862
	17	0.046778478534516
	18	0.0418293199381114
	19	0.145185185185185
	15-2	0.311557788944724
	15-3	0.0392479006936838
	16-2	0.231404958677686
	16-3	0.0205737225056452
	18-2	0.054821995654354
### CTU-13 Contamination: 25%
	10	0.014264572884979036
	11	0.08597236602520618
	12	0.0033233983066494346
	15	0.0667420814479638
	15-2	0.39075316927665926
	15-3	0.07855903554116658
	16	0.05673091991850807
	16-2	0.3111111111111111
	16-3	0.04813856709031606
	17	0.08835281685489729
	18	0.06653438056287525
	18-2	0.11973651296589677
	19	0.20019436345966957
### CTU-13 Contamination: 33%
	10	0.014968974561272575
	11	0.07023599293626584
	12	0.0036218556350980447
	15	0.05518496058217101
	15-2	0.38861788617886184
	15-3	0.11174117372897813
	16	0.05550444648880711
	16-2	0.32941176470588235
	16-3	0.03348837209302326
	17	0.0947995382031906
	18	0.073065371492552
	18-2	0.09383045675598359
	19	0.2154811715481172
