Recall: 					also known as sensitivity, means TP/(TN+FN) or TP(Expected True)
ROC_AUC: 					A ROC curve is the True Positive Rate (TPR) against False Positive Rate (FPR).
AP: 						Average Precision (AP) is the Area under Precision-Recall Curve (AUC of PR-curve)
undersample/undersample:	learn from undersample and validate against undersample
undersample/complete: 		learn from undersample and validate against complete
complete/complete: 			learn from complete and validate against complete
under/complete: 			learn from complete and validate against complete

==========================================================================================================================================================================

raw							[complete/complete]	ROC_AUC:0.9952	PR_AUC:0.8530	[under/under]	ROC_AUC:0.9939	PR_AUC:0.9950	[under/complete]	ROC_AUC: 0.9952	PR_AUC:0.7331
## denoised_a2_c100_it100	[complete/complete]	ROC_AUC:0.6621	PR_AUC:0.0056	[under/under]	ROC_AUC:0.8340 PR_AUC:0.8589	[under/complete]	ROC_AUC:0.6621	PR_AUC:0.0056
## sparse_a2_c100_it100	[complete/complete]	ROC_AUC:0.6621	PR_AUC:0.0056	[under/under]	ROC_AUC:0.8340 PR_AUC:0.8589	[under/complete]	ROC_AUC:0.6621	PR_AUC:0.0056
## denoised_a3_c2_it100	[complete/complete]	ROC_AUC:0.6927	PR_AUC:0.4486	[under/under]	ROC_AUC:0.7996 PR_AUC:0.8430	[under/complete]	ROC_AUC:0.6927	PR_AUC:0.4486
## sparse_a3_c2_it100	[complete/complete]	ROC_AUC:0.6621	PR_AUC:0.0056	[under/under]	ROC_AUC:0.7996 PR_AUC:0.8430	[under/complete]	ROC_AUC:0.6621	PR_AUC:0.0056
## denoised_a3_c6_it100	[complete/complete]	ROC_AUC:0.6621	PR_AUC:0.0056	[under/under]	ROC_AUC:0.8340 PR_AUC:0.8589	[under/complete]	ROC_AUC:0.6621	PR_AUC:0.0056
## sparse_a3_c6_it100	[complete/complete]	ROC_AUC:0.6621	PR_AUC:0.0056	[under/under]	ROC_AUC:0.8340 PR_AUC:0.8589	[under/complete]	ROC_AUC:0.6621	PR_AUC:0.0056
## denoised_a3_c10_it100	[complete/complete]	ROC_AUC:0.6621	PR_AUC:0.0056	[under/under]	ROC_AUC:0.1660 PR_AUC:0.3391	[under/complete]	ROC_AUC:0.6621	PR_AUC:0.0056
## sparse_a3_c10_it100	[complete/complete]	ROC_AUC:0.6621	PR_AUC:0.0056	[under/under]	ROC_AUC:0.1660 PR_AUC:0.3391	[under/complete]	ROC_AUC:0.6621	PR_AUC:0.0056
## denoised_a3_c20_it100	[complete/complete]	ROC_AUC:0.6621	PR_AUC:0.0056	[under/under]	ROC_AUC:0.8389 PR_AUC:0.8666	[under/complete]	ROC_AUC:0.6621	PR_AUC:0.0056
## sparse_a3_c20_it100	[complete/complete]	ROC_AUC:0.6621	PR_AUC:0.0056	[under/under]	ROC_AUC:0.8389 PR_AUC:0.8666	[under/complete]	ROC_AUC:0.6621	PR_AUC:0.0056
## denoised_a3_c40_it100	[complete/complete]	ROC_AUC:0.6621	PR_AUC:0.0056	[under/under]	ROC_AUC:0.1660 PR_AUC:0.3391	[under/complete]	ROC_AUC:0.5197	PR_AUC:0.0047
## sparse_a3_c40_it100	[complete/complete]	ROC_AUC:0.6609	PR_AUC:0.0056	[under/under]	ROC_AUC:0.1660 PR_AUC:0.3391	[under/complete]	ROC_AUC:0.6609	PR_AUC:0.0056
## denoised_a3_c100_it100	[complete/complete]	ROC_AUC:0.4565	PR_AUC:0.0038	[under/under]	ROC_AUC:0.4322 PR_AUC:0.4616	[under/complete]	ROC_AUC:0.3075	PR_AUC:0.0019
## sparse_a3_c100_it100	[complete/complete]	ROC_AUC:0.6609	PR_AUC:0.0056	[under/under]	ROC_AUC:0.4322 PR_AUC:0.4616	[under/complete]	ROC_AUC:0.6609	PR_AUC:0.0056
## denoised_a5_c2_it100	[complete/complete]	ROC_AUC:0.6621	PR_AUC:0.0056	[under/under]	ROC_AUC:0.8340 PR_AUC:0.8589	[under/complete]	ROC_AUC:0.6621	PR_AUC:0.0056
## sparse_a5_c2_it100	[complete/complete]	ROC_AUC:0.6621	PR_AUC:0.0056	[under/under]	ROC_AUC:0.8340 PR_AUC:0.8589	[under/complete]	ROC_AUC:0.6621	PR_AUC:0.0056
